,vh,vv,vv_by_vh
122,"[0.21336989104747772, 0.12798449024558067, 0.10507677495479584, 0.16486407071352005, 0.17499057203531265, 0.20803704112768173, 0.04906005412340164, 0.09877698868513107, 0.07386229932308197, 0.0410745982080698, 0.08038770779967308, 0.082548838108778, 0.18774648755788803, 0.13034533709287643, 0.18755338340997696, 0.15095710009336472, 0.3129401355981827, 0.1520809382200241]","[0.008244951721280813, 0.010217872448265553, 0.02639041468501091, 0.03688144497573376, 0.022484499029815197, 0.0237852418795228, 0.01674389559775591, 0.02257595118135214, 0.02999870479106903, 0.025730221532285213, 0.03357177600264549, 0.024560468271374702, 0.04815104603767395, 0.05803588777780533, 0.04828455112874508, 0.014225935097783804, 0.019185827113687992, 0.010549853555858135]","[25.87885269197571, 12.525551761737404, 3.9816265189071394, 4.47010877209374, 7.782720522403871, 8.746475742455454, 2.9300262795461345, 4.375319023843453, 2.4621829454807544, 1.5963561820301897, 2.3945026856290963, 3.3610449604085484, 3.899115450389031, 2.245943709725147, 3.8843352381984024, 10.611400871418404, 16.31100570977822, 14.415454907957127]"
123,"[0.032737620174884796, 0.03871758095920086, 0.12919074296951294, 0.08469948545098305, 0.10745808482170105, 0.061451518908143044, 0.14780665189027786, 0.3082711547613144, 0.010722201317548752, 0.02028630208224058, 0.2538585215806961, 0.32174524664878845, 0.22625787556171417, 0.16290882229804993, 0.1425933539867401, 0.08563382551074028, 0.041500985622406006, 0.05779990181326866]","[0.011887569446116686, 0.02025864738970995, 0.036793285980820656, 0.019694221206009388, 0.028541555628180504, 0.019555622711777687, 0.04704089276492596, 0.08554581552743912, 0.0043484801426529884, 0.00554564711637795, 0.006134162424132228, 0.010523333679884672, 0.0368912648409605, 0.019686291925609112, 0.026309549808502197, 0.03686773404479027, 0.016719941049814224, 0.031699638813734055]","[2.753937238665655, 1.9111631795747046, 3.5112586311768017, 4.300727841177, 3.764969443908037, 3.1423964255115684, 3.1420885787372557, 3.6035795890266, 2.465735375534493, 3.6580585919953474, 41.38438209298123, 30.574460188771145, 6.133101603783974, 8.275241620598358, 5.419832533229422, 2.3227309117155, 2.482125116276479, 1.8233615263851686]"
124,"[0.23853053897619247, 0.37956464290618896, 0.2222798764705658, 0.34182900190353394, 0.23024962097406387, 0.2537231594324112, 0.1891740933060646, 0.35787707567214966, 0.23293007910251617, 0.20496392995119095, 0.18742482364177704, 0.3528991937637329, 0.3486970067024231, 0.125692218542099, 0.2490587905049324, 0.2181916907429695, 0.2626383304595947, 0.5049386620521545]","[0.03950442560017109, 0.04128540679812431, 0.024764245375990868, 0.03417986445128918, 0.03910769894719124, 0.044027362018823624, 0.03270391933619976, 0.05896040052175522, 0.030613424256443977, 0.03298819065093994, 0.03766502067446709, 0.04834607616066933, 0.050353484228253365, 0.02424077596515417, 0.030252007767558098, 0.02783859893679619, 0.08353650569915771, 0.05947118066251278]","[6.038071313588709, 9.193675740248088, 8.975838879631999, 10.000888165916674, 5.887577821568576, 5.762851731246887, 5.784447159416425, 6.069787052075742, 7.608756117946705, 6.2132516487487575, 4.976097723711892, 7.2994381713820395, 6.924982690805913, 5.185156561109268, 8.232802014946596, 7.837739651997018, 3.143994691439947, 8.490476503528354]"
125,"[0.10306163877248764, 0.39481648802757263, 0.10243592411279678, 0.37420928478240967, 0.09645631909370422, 0.262370228767395, 0.07487882673740387, 0.4709131121635437, 0.1295386105775833, 0.35973310470581055, 0.07450254261493683, 0.29196491837501526, 0.3463440537452698, 0.08912190794944763, 0.430332750082016, 0.30942970514297485, 0.10743576288223267, 0.3133792281150818]","[0.015069832094013691, 0.0766836479306221, 0.024784544482827187, 0.062050800770521164, 0.029940197244286537, 0.05991082265973091, 0.019076324999332428, 0.047030072659254074, 0.020272016525268555, 0.055188387632369995, 0.022704927250742912, 0.041547685861587524, 0.06580963730812073, 0.022801488637924194, 0.07409211248159409, 0.05517546832561493, 0.022329887375235558, 0.07138588279485703]","[6.838937430061191, 5.14863988193121, 4.133056558040556, 6.030692273679528, 3.221632720275779, 4.3793461201084005, 3.925222847693371, 10.013021148732639, 6.390020963929105, 6.518275313678743, 3.2813380898412294, 7.02722455704683, 5.262816631608025, 3.908600414852612, 5.8080777517164055, 5.608102922061175, 4.811298914180006, 4.3899327968758985]"
126,"[0.10609904304146767, 0.08132652193307877, 0.33221451938152313, 0.06832842528820038, 0.19512809813022614, 0.1518799290060997, 0.06462956219911575, 0.08686375990509987, 0.025413948111236095, 0.04838426224887371, 0.0953979380428791, 0.1299644410610199, 0.05570848099887371, 0.06486117094755173, 0.035182029008865356, 0.1792227253317833, 0.11143689230084419, 0.08934331685304642]","[0.005650731967762113, 0.005588416242972016, 0.013513623271137476, 0.00782889174297452, 0.03843589872121811, 0.042418330907821655, 0.025133644230663776, 0.024924433790147305, 0.021314198151230812, 0.02506645955145359, 0.02617704402655363, 0.02282533049583435, 0.020132803358137608, 0.02440965175628662, 0.027188478037714958, 0.05304299108684063, 0.016024629585444927, 0.013358717784285545]","[18.776159203227365, 14.552695861793557, 24.583674764048663, 8.727726417920755, 5.076714858302711, 3.58052581880571, 2.571436183546587, 3.4850845815176488, 1.1923483084334814, 1.930239176759525, 3.6443357755027175, 5.693868970911004, 2.767050370874285, 2.6571936214062113, 1.2940050914237278, 3.37882011665527, 6.954100979785619, 6.688015893122986]"
127,"[0.06981402635574341, 0.10779323801398277, 0.08578033745288849, 0.027427470311522484, 0.16988099366426468, 0.17006205767393112, 0.04771704412996769, 0.11696692556142807, 0.04435544274747372, 0.09218808636069298, 0.025542662478983402, 0.05619997903704643, 0.05549345538020134, 0.07156941294670105, 0.04398879036307335, 0.055607181042432785, 0.2060171291232109, 0.33174170553684235]","[0.007578681688755751, 0.013343601487576962, 0.005162606481462717, 0.006795396097004414, 0.007297538220882416, 0.010188452899456024, 0.01977952104061842, 0.033858321607112885, 0.01677083596587181, 0.031553732231259346, 0.00984186539426446, 0.021517147310078144, 0.025819956324994564, 0.024581768549978733, 0.02343281451612711, 0.033044587820768356, 0.06987376883625984, 0.09927649423480034]","[9.211895844540384, 8.07827168057585, 16.61570328106519, 4.0361841929439874, 23.279219446653713, 16.691646842967785, 2.412446895553128, 3.4545990471322097, 2.644796171027838, 2.9216222564430896, 2.5953070333464314, 2.611869418708847, 2.149246678875357, 2.9114834761050163, 1.877230340077119, 1.6827923938419942, 2.9484187350189375, 3.3415936782803293]"
128,"[0.21138106286525726, 0.22953646630048752, 0.25360359251499176, 0.21546633541584015, 0.18749305605888367, 0.323142409324646, 0.21476217359304428, 0.3894907087087631, 0.20409930497407913, 0.27179424464702606, 0.18337449431419373, 0.34719742834568024, 0.2861732244491577, 0.25358720123767853, 0.39349566400051117, 0.15432865917682648, 0.22446075081825256, 0.2613511383533478]","[0.05088757909834385, 0.06912533193826675, 0.04629037342965603, 0.051108334213495255, 0.06799652054905891, 0.0531390942633152, 0.06202637031674385, 0.06801919266581535, 0.04718656651675701, 0.04780433513224125, 0.043567296117544174, 0.0774076096713543, 0.058550190180540085, 0.053469521924853325, 0.03264874033629894, 0.06474295258522034, 0.05010862462222576, 0.06857491284608841]","[4.153883258166957, 3.3205839287032712, 5.478538489225495, 4.215874743946279, 2.757391915717349, 6.081067315965314, 3.462433356914806, 5.726188351313832, 4.32536885050958, 5.685556422762935, 4.208994145963316, 4.485313909314076, 4.887656616771692, 4.74264949655007, 12.052399570314257, 2.383713640085932, 4.479483372582783, 3.8111771128303453]"
129,"[0.10321111977100372, 0.11478506401181221, 0.03241494297981262, 0.06732742488384247, 0.11226467788219452, 0.06581958383321762, 0.12369513139128685, 0.07363129779696465, 0.18405470997095108, 0.20709742605686188, 0.024015994742512703, 0.018308299593627453, 0.01249743066728115, 0.25275108218193054, 0.1545943170785904, 0.23520465195178986, 0.06898913532495499, 0.07714315131306648]","[0.030526607297360897, 0.019098132848739624, 0.01665390469133854, 0.02018182910978794, 0.03800077736377716, 0.020221173763275146, 0.042432134971022606, 0.02579428255558014, 0.08310982212424278, 0.06514622271060944, 0.008618905209004879, 0.006378383142873645, 0.006654379656538367, 0.008812732994556427, 0.00699924654327333, 0.02468391042202711, 0.0327714029699564, 0.02003077883273363]","[3.381021636817354, 6.010276759562253, 1.9463869633330602, 3.3360417689390447, 2.9542731930849047, 3.2549833458607833, 2.91512862776666, 2.8545588596351874, 2.214596364985639, 3.1789629151151826, 2.7864321697634193, 2.87036685999064, 1.8780759909004592, 28.680215585568448, 22.087279841165795, 9.528662514586868, 2.1051627050633646, 3.8512307463053665]"
130,"[0.04142402857542038, 0.06175269931554794, 0.0641484260559082, 0.054773829877376556, 0.11222554743289948, 0.042819008231163025, 0.13703303784132004, 0.16925791651010513, 0.05748336762189865, 0.12842253595590591, 0.02768835984170437, 0.03267863392829895, 0.11140498518943787, 0.20725391060113907, 0.182224303483963, 0.20455870777368546, 0.05560946278274059, 0.06948000192642212]","[0.017131944186985493, 0.025157451629638672, 0.022610281594097614, 0.027872830629348755, 0.038233682513237, 0.021685750223696232, 0.07102341949939728, 0.07628218829631805, 0.014751468319445848, 0.017237714491784573, 0.007385732140392065, 0.004723444581031799, 0.006309185875579715, 0.030982649885118008, 0.046710388734936714, 0.016552581451833248, 0.014226625207811594, 0.021052809432148933]","[2.4179409017038878, 2.454648436759605, 2.8371352116487603, 1.9651333804505071, 2.9352534220067743, 1.974522799048671, 1.9294063677472322, 2.2188392898827574, 3.896789551865984, 7.450090672815795, 3.748898459271034, 6.9183904601164095, 17.657584890729108, 6.6893539245230915, 3.9011515086721937, 12.358115159797626, 3.90883023699861, 3.300272210716062]"
131,"[0.006955720484256744, 0.015102139674127102, 0.016286149621009827, 0.011344226077198982, 0.01705932430922985, 0.014634230174124241, 0.009923365898430347, 0.011791057884693146, 0.022640978917479515, 0.01598619669675827, 0.013925517909228802, 0.016160523518919945, 0.009963962249457836, 0.01048002764582634, 0.015980971977114677, 0.028400646522641182, 0.009819441474974155, 0.014606134966015816]","[0.005457365419715643, 0.0043030912056565285, 0.003812583163380623, 0.005788085050880909, 0.00431191548705101, 0.004643925465643406, 0.005797925405204296, 0.004249763209372759, 0.00826630275696516, 0.0047340975143015385, 0.004952709190547466, 0.003979687578976154, 0.0039414893835783005, 0.005153595004230738, 0.004401880782097578, 0.006897331681102514, 0.004608520306646824, 0.005183436442166567]","[1.2745564845498607, 3.5096025048864723, 4.271683770058114, 1.9599273295876094, 3.956321583866896, 3.151262930981753, 1.7115373525714905, 2.7745211447753673, 2.738948667032828, 3.376820322873482, 2.8116970679010316, 4.060751804813163, 2.5279688157911524, 2.033537295271161, 3.630487232209739, 4.117628067743066, 2.1307145941858323, 2.817847798266966]"
132,"[0.22932098805904388, 0.2468225061893463, 0.3830164074897766, 0.25233498215675354, 0.30512598156929016, 0.34827592968940735, 0.31756219267845154, 0.33308184146881104, 0.23149029910564423, 0.2699877619743347, 0.2731233239173889, 0.23977427184581757, 0.23146696388721466, 0.20522810518741608, 0.2396557629108429, 0.23788216710090637, 0.2690419852733612, 0.29731613397598267]","[0.07692696154117584, 0.06061522290110588, 0.1163002997636795, 0.07559844851493835, 0.07438940554857254, 0.05859300121665001, 0.08726327866315842, 0.07151145488023758, 0.07065049558877945, 0.06688866764307022, 0.07408515363931656, 0.05574750527739525, 0.06300383061170578, 0.06624492257833481, 0.04447364807128906, 0.05864211171865463, 0.06534004956483841, 0.09420926123857498]","[2.981022303036079, 4.071955762532438, 3.293339813122239, 3.3378328142130034, 4.101739748008313, 5.943985159620736, 3.639127449064354, 4.65774108534966, 3.276555913394173, 4.036375240945705, 3.6866134508823367, 4.3010762661525295, 3.673855409106019, 3.0980201530877065, 5.38871384075996, 4.056507518729646, 4.11756628691236, 3.1559119567136933]"
133,"[0.2030143290758133, 0.2526191174983978, 0.10580958053469658, 0.10766151174902916, 0.08050023019313812, 0.11509716138243675, 0.08894040063023567, 0.09683376550674438, 0.046336669474840164, 0.07902900874614716, 0.17648296803236008, 0.4225834757089615, 0.09127379581332207, 0.07742680981755257, 0.0791906826198101, 0.29240618646144867, 0.175384983420372, 0.19665808230638504]","[0.017493420280516148, 0.030875098891556263, 0.029548348858952522, 0.029605358839035034, 0.020642713643610477, 0.02899251878261566, 0.02991233579814434, 0.04042973741889, 0.033212583512067795, 0.03076358139514923, 0.0814506784081459, 0.058290574699640274, 0.027625780552625656, 0.00707257934845984, 0.007490319898352027, 0.019970099441707134, 0.01757224276661873, 0.03531048633158207]","[11.605182166801706, 8.181969501885035, 3.580896551606758, 3.6365548661101217, 3.8996922392543723, 3.9698917588164395, 2.973368620572695, 2.3951124021275665, 1.395154022209797, 2.5689144489077065, 2.166746446825297, 7.249602150715617, 3.303935454039038, 10.947464284640853, 10.572403274422651, 14.64219982053592, 9.980796745737186, 5.569396027561704]"
134,"[0.24484826624393463, 0.24604474008083344, 0.28644147515296936, 0.23715272545814514, 0.2513113021850586, 0.1643693894147873, 0.2893855571746826, 0.2646312415599823, 0.22525635361671448, 0.278204083442688, 0.2602788507938385, 0.25735655426979065, 0.26328587532043457, 0.28547316789627075, 0.28797560930252075, 0.20486849546432495, 0.3068118691444397, 0.29443949460983276]","[0.06651056557893753, 0.08567360788583755, 0.0604117289185524, 0.062167443335056305, 0.06756623834371567, 0.07337396591901779, 0.059062473475933075, 0.056476980447769165, 0.06712233275175095, 0.05387616902589798, 0.06851037591695786, 0.05235524848103523, 0.06050707399845123, 0.05420929566025734, 0.05121486634016037, 0.05864440277218819, 0.05266963317990303, 0.04885045066475868]","[3.6813439205134775, 2.871884891420644, 4.741487791868234, 3.814741490654392, 3.7194804438662827, 2.2401595355524377, 4.899651845644462, 4.685647842039247, 3.355907704367418, 5.163768851288532, 3.7991157880862487, 4.915582711120424, 4.351323868795469, 5.26612944181012, 5.622890966654801, 3.4934023671476933, 5.825213707041894, 6.02736495985379]"
135,"[0.14614130556583405, 0.09391983598470688, 0.5632790923118591, 0.2556929290294647, 0.18027563393115997, 0.22085747122764587, 0.14986301958560944, 0.22626258432865143, 0.032405175268650055, 0.053583357483148575, 0.03977145254611969, 0.07437442243099213, 0.07869172096252441, 0.07652194797992706, 0.04660537838935852, 0.22017838060855865, 0.19122567772865295, 0.13589395582675934]","[0.01190239004790783, 0.009148151613771915, 0.03084798902273178, 0.02079027332365513, 0.02967921458184719, 0.02354469895362854, 0.023790227249264717, 0.02203107438981533, 0.023396264761686325, 0.03381605073809624, 0.02022266946732998, 0.02156156674027443, 0.02696978487074375, 0.028957601636648178, 0.0233815498650074, 0.06965061277151108, 0.0491877906024456, 0.028225520625710487]","[12.278315949788789, 10.26653688634948, 18.259831845012023, 12.298680495871011, 6.07413762362238, 9.380348063172365, 6.299352167400639, 10.270156612663865, 1.385057640556227, 1.5845539710757244, 1.9666766848150814, 3.449397872004802, 2.91777340233394, 2.6425513044934763, 1.9932544531236431, 3.161183683061829, 3.8876655240364726, 4.814577475073186]"
136,"[0.10875114798545837, 0.1791168749332428, 0.0531710721552372, 0.15004891902208328, 0.03672635927796364, 0.08427243307232857, 0.046102240681648254, 0.08193357661366463, 0.060384608805179596, 0.0554406363517046, 0.0777318924665451, 0.07877964153885841, 0.17924022674560547, 0.22227947413921356, 0.18526531755924225, 0.0914839580655098, 0.16666630655527115, 0.060679418966174126]","[0.04563387669622898, 0.06532789766788483, 0.02182411588728428, 0.022827960550785065, 0.01525277690961957, 0.029261459596455097, 0.022152540273964405, 0.02908640168607235, 0.019377602264285088, 0.038755347952246666, 0.021216562017798424, 0.024831588380038738, 0.04949495196342468, 0.025231375358998775, 0.032946277409791946, 0.008428364992141724, 0.01016967510804534, 0.007778039667755365]","[2.3831231501408947, 2.7418129363941954, 2.436344841177144, 6.573032167646839, 2.407847403498125, 2.879980501127764, 2.081126593677007, 2.8169031528192594, 3.11620643161175, 1.4305286697468724, 3.663736490451958, 3.1725574833620658, 3.6213839924131808, 8.809645569318421, 5.623254950927465, 10.854294771382806, 16.388557626921596, 7.801376896768304]"
137,"[0.26462802290916443, 0.1895887851715088, 0.22573667764663696, 0.225232794880867, 0.18764883279800415, 0.2148067206144333, 0.2098146229982376, 0.30066895484924316, 0.19069086015224457, 0.22201979160308838, 0.20490767061710358, 0.30846109986305237, 0.24418333172798157, 0.16545577347278595, 0.26363813877105713, 0.16558751463890076, 0.29155778884887695, 0.3594513535499573]","[0.061302319169044495, 0.06942626088857651, 0.06321917474269867, 0.052462659776210785, 0.04672448709607124, 0.06772357225418091, 0.06201530992984772, 0.06960397213697433, 0.059027668088674545, 0.0508151575922966, 0.04674774408340454, 0.06594669073820114, 0.05502510443329811, 0.0697157010436058, 0.06121279299259186, 0.044663526117801666, 0.05549328774213791, 0.06114808842539787]","[4.316770172747269, 2.7307935462026873, 3.5706995316750447, 4.293201981021155, 4.016070468835223, 3.1718161559496325, 3.383271376625898, 4.31970971796773, 3.2305335163465796, 4.369164676894474, 4.3832632918396985, 4.677431064548766, 4.437671390955425, 2.3732928306823826, 4.30691242601793, 3.707443836882867, 5.253928911252584, 5.8783743336228165]"
138,"[0.21451134979724884, 0.26971307396888733, 0.2615024149417877, 0.21620874106884003, 0.1694602072238922, 0.2785000205039978, 0.1794213503599167, 0.22876477241516113, 0.1456286758184433, 0.23298867046833038, 0.16729117929935455, 0.19326452910900116, 0.25149205327033997, 0.14883148670196533, 0.22251500189304352, 0.21557311713695526, 0.2449180632829666, 0.2499992549419403]","[0.050148408859968185, 0.07927460223436356, 0.06227888539433479, 0.06239086017012596, 0.054243333637714386, 0.0690443366765976, 0.04266772419214249, 0.05156099051237106, 0.041584476828575134, 0.035002950578927994, 0.03938352316617966, 0.05791860073804855, 0.06389790028333664, 0.0325007364153862, 0.050059713423252106, 0.06577006727457047, 0.052342914044857025, 0.06462689489126205]","[4.277530527364073, 3.402263352536551, 4.198893626403521, 3.465391252489339, 3.124074349037974, 4.0336403231518725, 4.205083672893859, 4.436780018030753, 3.501996103468429, 6.656258018676605, 4.2477453983348745, 3.336830079564398, 3.9358422132053112, 4.579326597396941, 4.444991524655594, 3.2776782215685083, 4.679106384353684, 3.8683469995359734]"
139,"[0.2381666675209999, 0.10438670590519905, 0.009854231961071491, 0.009496808983385563, 0.0106196915730834, 0.01089960802346468, 0.012177671771496534, 0.010387345217168331, 0.009744522161781788, 0.01994288619607687, 0.014042078983038664, 0.02315372321754694, 0.011748471297323704, 0.012855825945734978, 0.011962380725890398, 0.010736863128840923, 0.014444065280258656, 0.009627298451960087]","[0.037471696734428406, 0.020145081914961338, 0.0032755215652287006, 0.005620527314022183, 0.0036153598921373487, 0.004009316908195615, 0.0038779344176873565, 0.004366344073787332, 0.004231245024129748, 0.004287387942895293, 0.0032033493043854833, 0.004465913865715265, 0.004205997800454497, 0.004188402788713574, 0.00518140266649425, 0.003813907504081726, 0.0034513005521148443, 0.005045086843892932]","[6.3559082794928825, 5.18174641065486, 3.00844667477665, 1.6896651244257401, 2.937381585766609, 2.718569839461762, 3.1402469613601167, 2.3789570958292416, 2.302991697765357, 4.651523599380499, 4.383561594052396, 5.184543167143824, 2.793266153409346, 3.06938625396234, 2.308714743064772, 2.8151870797469787, 4.185107921536362, 1.9082522758976712]"
140,"[0.22728241235017776, 0.21770546585321426, 0.2273191213607788, 0.2857787013053894, 0.19812863320112228, 0.2950308173894882, 0.20779592543840408, 0.3079519718885422, 0.1963988095521927, 0.26446133852005005, 0.1685265526175499, 0.24003473669290543, 0.30744630098342896, 0.22977925837039948, 0.23099322617053986, 0.22167041897773743, 0.20627976953983307, 0.3066338300704956]","[0.037182386964559555, 0.07283646240830421, 0.04471427761018276, 0.07374481856822968, 0.044544218108057976, 0.055407652631402016, 0.0367239098995924, 0.04759887605905533, 0.04198580980300903, 0.04945334605872631, 0.034408485516905785, 0.07035732641816139, 0.06641928851604462, 0.05973775498569012, 0.059960123151540756, 0.054913174360990524, 0.048162348568439484, 0.0786118283867836]","[6.112636409459466, 2.9889626521508994, 5.083815137136678, 3.875237702849363, 4.447909102826549, 5.324730490789299, 5.6583279396595625, 6.469732005992537, 4.677742562872211, 5.347693525247002, 4.897819537414642, 3.4116523312196962, 4.6288707369872, 3.846466249450485, 3.8524474939242044, 4.036743851675941, 4.283008941034222, 3.9006067708005068]"
141,"[0.15212556719779968, 0.06621509045362473, 0.09399913251399994, 0.06674129515886307, 0.16770857572555542, 0.09060793370008469, 0.09530077874660492, 0.06952512264251709, 0.4430735409259796, 0.28041380643844604, 0.10828065872192383, 0.08197519183158875, 0.034141361713409424, 0.30490055680274963, 0.20739446580410004, 0.23232008516788483, 0.1125728040933609, 0.0964195653796196]","[0.025163447484374046, 0.021549809724092484, 0.020005960017442703, 0.020298589020967484, 0.05817167088389397, 0.02417910471558571, 0.031181396916508675, 0.0283958800137043, 0.07438947260379791, 0.04923895746469498, 0.01623637229204178, 0.010237620212137699, 0.006789768114686012, 0.029631134122610092, 0.04503971338272095, 0.015432632528245449, 0.021996885538101196, 0.01848374679684639]","[6.045497831418622, 3.0726531371456556, 4.698556451779591, 3.287977065298601, 2.882993958696638, 3.7473651223189974, 3.056334486930856, 2.4484228912420805, 5.956132304980997, 5.694958237885249, 6.669017978541755, 8.007250721647122, 5.028354597200889, 10.289871307021444, 4.60470216676967, 15.053820839878284, 5.117670130999752, 5.216451320144152]"
142,"[0.007511572679504752, 0.015646061394363642, 0.009124044794589281, 0.016528756357729435, 0.01050221174955368, 0.01112568099051714, 0.012362205423414707, 0.008970069233328104, 0.017031758092343807, 0.014528237748891115, 0.012958409264683723, 0.01081068068742752, 0.009009411558508873, 0.02108336053788662, 0.02155504934489727, 0.01595386117696762, 0.012417995370924473, 0.011791363824158907]","[0.004589017014950514, 0.0060402643866837025, 0.00505803688429296, 0.005915407324209809, 0.005711935460567474, 0.00437589711509645, 0.005205372581258416, 0.00579322362318635, 0.004385041072964668, 0.004291055724024773, 0.005284943152219057, 0.004034297540783882, 0.0036361052189022303, 0.006012061377987266, 0.0045904282014817, 0.004378289915621281, 0.003729800460860133, 0.0041641914285719395]","[1.6368587553789564, 2.5902941316371466, 1.8038707513032874, 2.7941873571550504, 1.8386432798577694, 2.5424914475558724, 2.3748934836910567, 1.548372687949934, 3.8840589652285424, 3.38570241993139, 2.451948657052765, 2.6796934480263834, 2.4777642604162287, 3.506843861421948, 4.695651124210967, 3.643856730465909, 3.3293993877787087, 2.8316094556206837]"
143,"[0.08497894555330276, 0.21975058317184448, 0.11321694403886795, 0.17123302817344666, 0.1272447556257248, 0.13411828875541687, 0.11372887343168259, 0.16272972524166107, 0.15362291038036346, 0.15829375386238098, 0.14553241431713104, 0.15889322757720947, 0.128488227725029, 0.11858232319355011, 0.14320723712444305, 0.17027930915355682, 0.1122916117310524, 0.14897792041301727]","[0.029741859063506126, 0.03796149790287018, 0.022235307842493057, 0.05399380251765251, 0.036678288131952286, 0.037175294011831284, 0.026921652257442474, 0.030932139605283737, 0.0182661060243845, 0.0436471626162529, 0.021931461989879608, 0.03465265780687332, 0.04803895950317383, 0.028976019471883774, 0.050329502671957016, 0.03914106264710426, 0.023513270542025566, 0.033783264458179474]","[2.8572170075801915, 5.78877534638141, 5.09176418158256, 3.1713459728542817, 3.469211953621018, 3.6077263763598704, 4.224438839939414, 5.260862239670742, 8.410271470847876, 3.6266676772120148, 6.635782620615432, 4.585311420057747, 2.6746671671050675, 4.092429717912558, 2.845393447613707, 4.350400771915538, 4.7756696173062005, 4.409814232056764]"
144,"[0.5759376883506775, 0.3090749979019165, 0.09850889444351196, 0.12826748192310333, 0.12074205279350281, 0.12449395656585693, 0.05676672235131264, 0.07404784113168716, 0.027250930666923523, 0.042038243263959885, 0.06437955796718597, 0.06071139872074127, 0.1701587587594986, 0.10272452235221863, 0.19445744156837463, 0.013896591030061245, 0.13013845682144165, 0.12414427846670151]","[0.014316439628601074, 0.016882609575986862, 0.030036259442567825, 0.04164816439151764, 0.035561367869377136, 0.01917262002825737, 0.02018452249467373, 0.027809590101242065, 0.018290117383003235, 0.022133268415927887, 0.024215279147028923, 0.020015988498926163, 0.02233724296092987, 0.03786275163292885, 0.07443536072969437, 0.004386867396533489, 0.020353250205516815, 0.0183991901576519]","[40.22911445105958, 18.307299976985323, 3.2796658529292007, 3.079787159820835, 3.395315198138851, 6.493319973085201, 2.812388668906692, 2.6626728715566346, 1.4899265049139299, 1.899323790502973, 2.6586337318801867, 3.0331451641270863, 7.617715358028908, 2.7130759895136665, 2.6124336560217687, 3.1677709340023266, 6.393988945616519, 6.74726862448737]"
145,"[0.01332957437261939, 0.015754790045320988, 0.015381713397800922, 0.012351277749985456, 0.015550923999398947, 0.01481537614017725, 0.012197043281048536, 0.015317574609071016, 0.0183170884847641, 0.022172280587255955, 0.015478878282010555, 0.018719322979450226, 0.014318122994154692, 0.020831606350839138, 0.022371775470674038, 0.02598653733730316, 0.019272111356258392, 0.01618336606770754]","[0.00787938036955893, 0.005704696057364345, 0.0058005317114293575, 0.00563646131195128, 0.0054762703366577625, 0.005155361955985427, 0.005363215692341328, 0.004520391579717398, 0.006634325487539172, 0.005209855269640684, 0.0055619224440306425, 0.004563687834888697, 0.004334449302405119, 0.006470338208600879, 0.005193258635699749, 0.006818245397880673, 0.005963322473689914, 0.00496293930336833]","[1.6917033760822933, 2.7617229536677432, 2.651776451371315, 2.191317755307999, 2.8396925358673717, 2.8737800113096714, 2.2742033848211465, 3.388550380856304, 2.76095716424645, 4.255834267884594, 2.783008651733957, 4.1017974183825325, 3.3033315180799985, 3.2195544775616427, 4.3078492792338325, 3.8113232687958987, 3.231774139548322, 3.2608430364489736]"
146,"[0.013445833697915077, 0.13357757776975632, 0.013131148647516966, 0.01312355138361454, 0.03740791603922844, 0.016447540372610092, 0.01228867331519723, 0.011217605788260698, 0.011849175672978163, 0.01878524385392666, 0.010743407998234034, 0.02887484710663557, 0.011205718386918306, 0.014805450569838285, 0.01433495944365859, 0.01237018033862114, 0.026799188926815987, 0.009337444324046373]","[0.005757302278652787, 0.042417630553245544, 0.004306873772293329, 0.005043309414759278, 0.006566486554220319, 0.004624542547389865, 0.004197296453639865, 0.004418613854795694, 0.00414549233391881, 0.00432398309931159, 0.005263163009658456, 0.003734643803909421, 0.006485904334113002, 0.004006683360785246, 0.005501415580511093, 0.004255554638803005, 0.004783489042893052, 0.003926655510440469]","[2.3354399416841827, 3.149105125098407, 3.0488817044026986, 2.602170579740434, 5.696793213592459, 3.5565767217112616, 2.9277592018882967, 2.5387160220135083, 2.858327725280563, 4.344430452773372, 2.0412455359103934, 7.731620101603642, 1.727703310081396, 3.6951885728590876, 2.605685615615107, 2.906831515174859, 5.6024355207068375, 2.377963714723463]"
147,"[0.13271653652191162, 0.1423543319106102, 0.09966113045811653, 0.10909871757030487, 0.14916296303272247, 0.07734909653663635, 0.12382755056023598, 0.08989748358726501, 0.6526947915554047, 0.3124084621667862, 0.14333578944206238, 0.113312728703022, 0.11192132532596588, 0.546168863773346, 0.2560528740286827, 0.2652839720249176, 0.08490240573883057, 0.07514044642448425]","[0.03108660876750946, 0.02876011934131384, 0.02338927425444126, 0.03384576551616192, 0.049018729478120804, 0.029528160579502583, 0.023316130973398685, 0.03556566312909126, 0.04551050625741482, 0.08131922781467438, 0.028006136417388916, 0.021494380198419094, 0.0071799110155552626, 0.028616088442504406, 0.022688213735818863, 0.013494890183210373, 0.021935109049081802, 0.02909273747354746]","[4.269251030708177, 4.949712837460955, 4.260975752131019, 3.2234081843475635, 3.042978971931543, 2.6195027058451243, 5.3108103870882575, 2.5276481774279795, 14.341628894736017, 3.8417539192423424, 5.118013684781799, 5.2717374335528, 15.58812150784161, 19.08607687143235, 11.28572204979015, 19.658105284544654, 3.870616988903666, 2.582790515770667]"
